x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
-498.8017,-629.3112,353.7068,-88.6462,2.6287,127.633
-497.73703356486897,-630.6926409186486,353.6313050925983,-87.6782,2.883622,127.609366
-496.6724085756635,-632.0752065329515,353.52541276013176,-86.709355,3.137722,127.585755
-495.6081493274686,-633.4584757000292,353.38915525843055,-85.739629,3.390927,127.562153
-494.54458000396085,-634.8420270626934,353.22257409284975,-84.768988,3.643163,127.538545
-493.4820245786593,-636.2254391777963,353.025720005626,-83.797399,3.894359,127.514918
-492.4208067162398,-637.6082906446061,352.7986529604213,-82.824828,4.144442,127.491257
-491.36124967394335,-638.9901602331702,352.5414421240572,-81.851247,4.393338,127.467548
-490.3036762031092,-640.3706270126254,352.2541658454462,-80.876626,4.640976,127.443774
-489.2484084508616,-641.7492704794178,351.93691163172565,-79.900937,4.887284,127.419923
-488.19576786198036,-643.125670685392,351.5897761216023,-78.924155,5.132189,127.395979
-487.1460750809862,-644.4994083657122,351.2128650559154,-77.946254,5.375621,127.371926
-486.0996498544686,-645.8700650665729,350.80629324542673,-76.967211,5.617507,127.34775
-485.05681093368867,-647.2372232726653,350.3701845358483,-75.987005,5.857776,127.323434
-484.0178759774838,-648.6004665343559,349.9046717701177,-75.005617,6.096357,127.298962
-482.9831614555061,-649.959379594541,349.409896747933,-74.023028,6.333179,127.274318
-481.9529825518224,-651.3135485151387,348.8860101825589,-73.039221,6.568172,127.249485
-480.92765306890635,-652.6625608031773,348.33317165491815,-72.054183,6.801265,127.224445
-479.9074853320511,-654.0060055364459,347.7515495649818,-71.067899,7.032389,127.19918
-478.8927900942318,-655.3434734886644,347.1413210804728,-70.080359,7.261475,127.173671
-477.88387644144757,-656.6745572541382,346.5026720828988,-69.091553,7.488452,127.1479
-476.88105169857045,-657.9988513718581,345.8357971109313,-68.101473,7.713251,127.121846
-475.8846213357318,-659.3159524490068,345.140899301147,-67.110115,7.935806,127.095488
-474.89488887527284,-660.6254592838372,344.4181903261501,-66.117473,8.156046,127.068805
-473.91215579928866,-661.9269729878821,343.66789033009576,-65.123546,8.373906,127.041774
-472.9367214577942,-663.2200971074591,342.89022786163093,-64.128334,8.589316,127.014372
-471.9688829775392,-664.5044377444345,342.0854398042769,-63.131839,8.802212,126.986573
-471.00893517150024,-665.7796036762088,341.25377130427205,-62.134064,9.012526,126.958352
-470.0571704490784,-667.0452064748863,340.39547569589814,-61.135014,9.220192,126.929681
-469.113878727028,-668.3008606255943,339.5108144243119,-60.134697,9.425147,126.900532
-468.17934734114556,-669.5461836439147,338.6000569659066,-59.133123,9.627324,126.870875
-467.2538609587441,-670.7807961923924,337.6634807462268,-58.130303,9.82666,126.840677
-466.3377014919412,-672.0043221960851,336.7013710554618,-57.12625,10.023091,126.809905
-465.43114801178535,-673.2163889571198,335.7140209615435,-56.120979,10.216555,126.778523
-464.5344766632487,-674.4166272682193,334.7017312208753,-55.114507,10.406989,126.746492
-463.6479605811103,-675.6046715251671,333.6648101867184,-54.106854,10.594332,126.713773
-462.7718698067565,-676.7801598381736,332.6035737152647,-53.098039,10.778524,126.680322
-461.90647120592416,-677.9427341421117,331.5183450694239,-52.088085,10.959503,126.646094
-461.0520283874103,-679.0920403055861,330.4094548203543,-51.077018,11.137212,126.61104
-460.20880162277473,-680.227728238806,329.27724074676786,-50.064862,11.311591,126.575106
-459.3770477670584,-681.349452000225,328.1220477320394,-49.051647,11.482583,126.538238
-458.5570201805432,-682.4568699019193,326.9442276591517,-48.037401,11.650132,126.500374
-457.7489686515757,-683.5496446136681,325.7441393035089,-47.022156,11.814181,126.46145
-456.9531393204794,-684.6274432657082,324.52214822364965,-46.005946,11.974676,126.421396
-456.16977460457804,-685.6899375501293,323.2786266498945,-44.988804,12.131562,126.380136
-455.39911312435254,-686.73680382088,322.0139533709611,-43.970768,12.284786,126.337589
