x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
-498.8017,-629.3112,353.7068,-88.6462,2.6287,127.633
-499.86608357334677,-627.9313045772916,353.75187448585666,-89.613392,2.373029,127.656672
-500.92986006336196,-626.5533749800367,353.7665148200432,-90.579814,2.116682,127.680397
-501.99270543342163,-625.1778309389388,353.7507165429721,-91.545505,1.859732,127.704189
-503.0542959305301,-623.805091458038,353.7044844669515,-92.510507,1.602253,127.728063
-504.1143081839381,-622.4355746870782,353.6278326747198,-93.474859,1.344319,127.752034
-505.1724193036446,-621.0696977941348,353.5207845151552,-94.438605,1.086002,127.776117
-506.2283069787524,-619.7078768385408,353.3833725961643,-95.401789,0.827376,127.800328
-507.2816495756471,-618.3505266441515,353.21563877474864,-96.364453,0.568515,127.824683
-508.3321262359697,-616.9980606729852,353.0176341442552,-97.326644,0.309493,127.849197
-509.37941697435326,-615.6508908992782,352.78941901881245,-98.288408,0.050383,127.873889
-510.42320277589357,-614.309427683994,352.53106291495845,-99.249791,-0.208742,127.898774
-511.4631656933241,-612.974079649823,352.24264453046516,-100.210841,-0.467807,127.923871
-512.4989889438658,-611.6452535567122,351.92425172036644,-101.171606,-0.726739,127.949197
-513.5303570057223,-610.3233541779622,351.57598147019655,-102.132134,-0.985465,127.974772
-514.556955714191,-609.0087841769292,351.1979398664476,-103.092476,-1.243911,128.000614
-515.5784723573603,-607.7019439843702,350.79024206425413,-104.052681,-1.502003,128.026745
-516.594595771365,-606.4032316764675,350.3530122523162,-105.0128,-1.759668,128.053185
-517.6050164351699,-605.1130428535708,349.88638361507003,-105.972882,-2.016832,128.079955
-518.6094265648526,-603.8317705196941,349.39049829211893,-106.932981,-2.273422,128.10708
-519.6075202073575,-602.5598049628022,348.86550733493596,-107.893147,-2.529365,128.134583
-520.5989933336928,-601.2975336359254,348.3115706608524,-108.853433,-2.784587,128.162488
-521.583543931539,-600.045341039138,347.7288570043453,-109.81389,-3.039015,128.190823
-522.5608720972468,-598.803608602435,347.1175438656393,-110.77457,-3.292576,128.219615
-523.5306801271894,-597.5727145695457,346.47781745663826,-111.735528,-3.545198,128.248892
-524.4926726084459,-596.3530338827165,345.8098726442037,-112.696815,-3.796807,128.278686
-525.4465565087876,-595.1449380684999,345.113912890796,-113.658483,-4.047331,128.30903
-526.392041265938,-593.9487951245839,344.3901501924978,-114.620586,-4.296698,128.339956
-527.3288388760809,-592.7649694076964,343.6388050144384,-115.583177,-4.544834,128.371503
-528.2566639815893,-591.593821522619,342.86010622363744,-116.546308,-4.791667,128.403707
-529.175233957948,-590.4357082123427,342.05429101928996,-117.510031,-5.037127,128.436612
-530.0842689998439,-589.2909822494004,341.2216048605134,-118.474399,-5.28114,128.470259
-530.983492206397,-588.1599923284098,340.36230139157817,-119.439463,-5.523635,128.504696
-531.8726296655079,-587.043082959857,339.47664236464504,-120.405276,-5.764541,128.539973
-532.7514105372933,-585.9405943651554,338.5648975600332,-121.371889,-6.003787,128.576143
-533.6195671365863,-584.8528623730109,337.6273447040425,-122.339352,-6.241302,128.613263
-534.4768350144772,-583.7802183171256,336.6642693843551,-123.307717,-6.477014,128.651395
-535.3229530388655,-582.7229889352697,335.67596496304293,-124.277033,-6.710855,128.690605
-536.1576634740047,-581.6814962697545,334.66273248720654,-125.24735,-6.942753,128.730964
-536.9807120590101,-580.6560575693351,333.62488059727366,-126.218716,-7.172639,128.772549
-537.7918480853097,-579.6469851925733,332.5627254329836,-127.19118,-7.400444,128.815443
-538.5908244730122,-578.6545865126902,331.476590537089,-128.164789,-7.626099,128.859736
-539.3773978461701,-577.6791638239374,330.3668067568006,-129.139589,-7.849534,128.905527
-540.1513286069141,-576.7210142495148,329.23371214300863,-130.115627,-8.070683,128.952922
-540.9123810084375,-575.7804296510647,328.077651847309,-131.092946,-8.289476,129.002037
-541.6603232268061,-574.8576965397674,326.8989780168668,-132.071592,-8.505847,129.052999
