x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
-498.8017,-629.3112,353.7068,-88.6462,2.6287,127.633
-500.1844500230118,-630.3758240217377,353.624758121686,-88.900753,3.59517,127.633
-501.56649598518726,-631.4416692446252,353.5123208125779,-89.155846,4.562371,127.633
-502.94741690193825,-632.508411001883,353.36952232216925,-89.411628,5.530286,127.633
-504.32679213137624,-633.5757243536378,353.19640614826346,-89.668245,6.4989,127.633
-505.704201502444,-634.6432841859033,352.9930250237242,-89.925851,7.468198,127.633
-507.0792254429038,-635.7107653096132,352.7594409004122,-90.184598,8.438167,127.633
-508.45144510714334,-636.777842559676,352.49572493031417,-90.444641,9.408793,127.633
-509.82044250375975,-637.8441908940245,352.2019574438693,-90.70614,10.380066,127.633
-511.18580062288436,-638.9094854926259,351.8782279254997,-90.969256,11.351973,127.633
-512.5471035632074,-639.973401856426,351.52463498635274,-91.234155,12.324504,127.633
-513.9039366586663,-641.0356159061938,351.1412863342631,-91.501007,13.297651,127.633
-515.255886604756,-642.0958040812399,350.7282987409436,-91.769986,14.271404,127.633
-516.6025415844264,-643.1536434379759,350.28579800641603,-92.041272,15.245756,127.633
-517.9434913935253,-644.2088117482863,349.81391892069064,-92.31505,16.220699,127.633
-519.2783275657508,-645.2609875976821,349.3128052227082,-92.591511,17.196228,127.633
-520.606643497074,-646.3098504832068,348.7826095565555,-92.870852,18.172337,127.633
-521.9280345695945,-647.355080911065,348.2234934249685,-93.153278,19.149021,127.633
-523.242098274791,-648.396360493943,347.6356271401372,-93.439001,20.126276,127.633
-524.5484343361293,-649.4333720479927,347.01918977182686,-93.728243,21.1041,127.633
-525.8466448309904,-650.4657996894491,346.3743690928312,-94.021233,22.082491,127.633
-527.1363343118815,-651.4933289308512,345.7013615217758,-94.318211,23.061446,127.633
-528.4171099268931,-652.5156467768381,345.00037206328625,-94.619427,24.040967,127.633
-529.6885815393659,-653.5324418194906,344.2716142455422,-94.925144,25.021052,127.633
-530.9503618467296,-654.5434043331887,343.51531005523464,-95.235636,26.001704,127.633
-532.2020664984794,-655.5482263689574,342.7316898699464,-95.551191,26.982926,127.633
-533.443314213253,-656.5466018482706,341.9209923879771,-95.87211,27.96472,127.633
-534.6737268949721,-657.5382266562859,341.083464555633,-96.198712,28.947091,127.633
-535.8929297480147,-658.5227987344806,340.2193614920053,-96.531332,29.930046,127.633
-537.1005513913809,-659.5000181726621,339.3289464112578,-96.870324,30.91359,127.633
-538.2962239718198,-660.4695873003227,338.4124905424498,-97.216059,31.897732,127.633
-539.4795832758806,-661.4312107773138,337.4702730469169,-97.568933,32.882483,127.633
-540.6502688408558,-662.384595683809,336.50258093323555,-97.929363,33.867851,127.633
-541.8079240645816,-663.3294516095301,335.509708969798,-98.297791,34.853851,127.633
-542.9521963140625,-664.265490742209,334.4919595950224,-98.674689,35.840496,127.633
-544.0827370328865,-665.1924279552583,333.44964282522744,-99.060555,36.827803,127.633
-545.1992018473986,-666.1099808946234,332.3830761601984,-99.45592,37.815788,127.633
-546.3012506716012,-667.0178700647905,331.2925844864735,-99.861351,38.804473,127.633
-547.3885478107464,-667.9158189139235,330.17849997838033,-100.277452,39.79388,127.633
-548.4607620635929,-668.8035539181043,329.0411619968525,-100.704867,40.784032,127.633
-549.5175668232926,-669.680804664651,327.88091698605683,-101.144287,41.774958,127.633
-550.5586401768778,-670.5473039344878,326.6981183678631,-101.596448,42.766689,127.633
-551.5836650033203,-671.4027877835435,325.49312643418847,-102.062144,43.759257,127.633
-552.5923290701281,-672.2469956231503,324.26630823724895,-102.542223,44.752701,127.633
-553.5843251284555,-673.079670299422,323.0180374777518,-103.037598,45.747062,127.633
-554.5593510066932,-673.9005581715862,321.7486943910626,-103.54925,46.742386,127.633
