x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
-498.8017,-629.3112,353.7068,-88.6462,2.6287,127.633
-497.41866711520396,-628.2481214742027,353.75842145676893,-88.392041,1.662978,127.633
-496.0357726538382,-627.1869122683629,353.7796067675971,-88.13813,0.698022,127.633
-494.6534378589519,-626.1278956370849,353.77034947923346,-87.884322,-0.266148,127.633
-493.2720838031147,-625.0713941670936,353.73065241153785,-87.630474,-1.229512,127.633
-491.8921312601534,-624.017729678971,353.6605276566216,-87.376439,-2.192048,127.633
-490.51400057698055,-622.9672231291277,353.5599965751643,-87.122073,-3.153733,127.633
-489.1381115455524,-621.920194512035,353.4290897899074,-86.867229,-4.114543,127.633
-487.7648832749966,-620.8769627627524,353.26784717632563,-86.611762,-5.074453,127.633
-486.39473406394694,-619.837845659777,353.07631785048113,-86.355521,-6.033436,127.633
-485.0280812731262,-618.8031597282443,352.854560154062,-86.098358,-6.991464,127.633
-483.6653411982134,-617.7732201435124,352.60264163661077,-85.840121,-7.948508,127.633
-482.30692894303667,-616.748340635156,352.3206390349483,-85.580653,-8.904536,127.633
-480.95325829312804,-615.7288333914016,352.00863824979865,-85.319799,-9.859516,127.633
-479.6047415896808,-614.7150089640318,351.66673431962363,-85.057398,-10.813413,127.633
-478.2617896039462,-613.7071761737883,351.29503139167235,-84.793285,-11.766191,127.633
-476.9248114121087,-612.7056420163021,350.8936426902575,-84.527293,-12.717812,127.633
-475.5942142706769,-611.7107115685798,350.4626904822658,-84.259248,-13.668236,127.633
-474.27040349243,-610.7226878960737,350.00230603991463,-83.988975,-14.617421,127.633
-472.9537823229551,-609.7418719603658,349.51262960076485,-83.71629,-15.565322,127.633
-471.6447518178147,-608.7685625274913,348.99381032500355,-83.441005,-16.511892,127.633
-470.3437107203817,-607.8030560769323,348.44600625000794,-83.162926,-17.457083,127.633
-469.05105534037773,-606.8456467113066,347.869384242206,-82.88185,-18.400842,127.633
-467.76717943315384,-605.8966260667817,347.2641199462472,-82.597569,-19.343113,127.633
-466.4924740797485,-604.9562832242391,346.63039773149944,-82.309866,-20.283841,127.633
-465.2273275677607,-604.0249046212182,345.96841063588823,-82.018514,-21.222963,127.633
-463.9721252730738,-603.1027739646637,345.27836030709574,-81.723279,-22.160416,127.633
-462.7272495424661,-602.1901721445067,344.56045694113686,-81.423914,-23.096131,127.633
-461.4930795771446,-601.287377148102,343.8149192183313,-81.120162,-24.030037,127.633
-460.2699913172364,-600.3946639755512,343.04197423669154,-80.811755,-24.962059,127.633
-459.0583573272738,-599.5123045559346,342.24185744274683,-80.49841,-25.892115,127.633
-457.8585466827074,-598.6405676644789,341.41481255982336,-80.179833,-26.820121,127.633
-456.67092485748253,-597.779718840686,340.56109151380434,-79.855711,-27.745988,127.633
-455.49585361271176,-596.9300203074467,339.68095435639054,-79.525717,-28.66962,127.633
-454.3336908864795,-596.0917308911658,338.77466918588607,-79.189506,-29.590918,127.633
-453.1847906848102,-595.2651059429198,337.84251206553347,-78.846713,-30.509773,127.633
-452.049502973835,-594.4503972606758,336.8847669394214,-78.496955,-31.426074,127.633
-450.9281735731885,-593.6478530125908,335.9017255459934,-78.139822,-32.3397,127.633
-449.8211440506685,-592.857717661417,334.8936873291805,-77.774884,-33.250524,127.633
-448.72875161819184,-592.0802318900367,333.86095934718895,-77.401682,-34.158409,127.633
-447.65132902907555,-591.3156325281474,332.80385617896616,-77.01973,-35.063213,127.633
-446.58920447667754,-590.5641524801217,331.7226998283776,-76.628511,-35.964781,127.633
-445.5427014944255,-589.826020654062,330.61781962612105,-76.227474,-36.862951,127.633
-444.5121388572655,-589.1014618920727,329.4895521294093,-75.816031,-37.757549,127.633
-443.4978304845601,-588.390696901772,328.3382410194517,-75.393556,-38.648389,127.633
-442.5000853444655,-587.6939421890612,327.1642369967653,-74.959379,-39.535275,127.633
