x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
-4.995709838867187500e+02,-6.304426879882812500e+02,3.539282531738281250e+02,-8.862786099999999578e+01,2.634405999999999803e+00,1.276369320000000016e+02
-5.006354602284461635e+02,-6.290628761109776406e+02,3.538328269021336610e+02,-8.862654899999999714e+01,3.634119000000000099e+00,1.276609250000000060e+02
-5.016993352277315807e+02,-6.276850383569139922e+02,3.537070096475632681e+02,-8.862481599999999560e+01,4.633830999999999811e+00,1.276849720000000019e+02
-5.027622848179443054e+02,-6.263095944288178316e+02,3.535508397352713814e+02,-8.862265800000000127e+01,5.633543000000000411e+00,1.277090859999999992e+02
-5.038239852143420876e+02,-6.249369633002338560e+02,3.533643647361262765e+02,-8.862007199999999330e+01,6.633252999999999844e+00,1.277332839999999976e+02
-5.048841130126992311e+02,-6.235675630879006803e+02,3.531476414522190908e+02,-8.861705499999999347e+01,7.632963000000000164e+00,1.277575800000000044e+02
-5.059423452878186822e+02,-6.222018109243887238e+02,3.529007358995614254e+02,-8.861360200000000020e+01,8.632671000000000205e+00,1.277819899999999933e+02
-5.069983596918982016e+02,-6.208401228310374336e+02,3.526237232879765315e+02,-8.860970700000000022e+01,9.632376999999999967e+00,1.278065289999999976e+02
-5.080518345527203223e+02,-6.194829135912308402e+02,3.523166879981894795e+02,-8.860536399999999446e+01,1.063208200000000048e+01,1.278312150000000003e+02
-5.091024489716373296e+02,-6.181305966240511225e+02,3.519797235561236448e+02,-8.860056699999999807e+01,1.163178500000000071e+01,1.278560619999999943e+02
-5.101498829213196018e+02,-6.167835838583465602e+02,3.516129326044125492e+02,-8.859530700000000536e+01,1.263148499999999963e+01,1.278810890000000029e+02
-5.111938173432393455e+02,-6.154422856072543482e+02,3.512164268711330806e+02,-8.858957599999999388e+01,1.363118300000000005e+01,1.279063119999999998e+02
-5.122339342448589150e+02,-6.141071104432154470e+02,3.507903271357727704e+02,-8.858336599999999805e+01,1.463087900000000019e+01,1.279317499999999939e+02
-5.132699167964941580e+02,-6.127784650735187597e+02,3.503347631924386292e+02,-8.857666500000000553e+01,1.563057200000000080e+01,1.279574209999999965e+02
-5.143014494278240818e+02,-6.114567542164147653e+02,3.498498738103210144e+02,-8.856946299999999894e+01,1.663026199999999832e+01,1.279833430000000050e+02
-5.153282179240163714e+02,-6.101423804778344220e+02,3.493358066914229312e+02,-8.856174699999999689e+01,1.762994899999999987e+01,1.280095369999999946e+02
-5.163499095214408499e+02,-6.088357442287509684e+02,3.487927184255686370e+02,-8.855350500000000125e+01,1.862963200000000086e+01,1.280360230000000001e+02
-5.173662130029393893e+02,-6.075372434832235058e+02,3.482207744427049647e+02,-8.854472199999999305e+01,1.962931100000000129e+01,1.280628230000000087e+02
-5.183768187926262954e+02,-6.062472737771580569e+02,3.476201489625096315e+02,-8.853538399999999342e+01,2.062898699999999863e+01,1.280899579999999958e+02
-5.193814190501883559e+02,-6.049662280478233924e+02,3.469910249413223369e+02,-8.852547300000000519e+01,2.162865800000000149e+01,1.281174519999999859e+02
-5.203797077646549951e+02,-6.036944965141582315e+02,3.463335940164142812e+02,-8.851497100000000273e+01,2.262832399999999922e+01,1.281453290000000038e+02
-5.213713808476134091e+02,-6.024324665579074463e+02,3.456480564476140103e+02,-8.850386100000000056e+01,2.362798599999999993e+01,1.281736150000000123e+02
